,train,test,m1,m2,m3,m4
150,0.8766151018435124,0.7243491109762865,5.0,2.0,0.0,0.0
151,0.8721282386486765,0.7275253828995495,5.0,2.0,0.0,1.0
152,0.8619068969618174,0.7255699805423582,5.0,2.0,0.0,2.0
153,0.9204687535531901,0.7234177292275895,5.0,2.0,0.0,3.0
154,0.8975424557836312,0.7301836691544015,5.0,2.0,0.0,4.0
155,0.8708963854955373,0.7300859435132736,5.0,2.0,1.0,0.0
156,0.8530276860097041,0.7275506795964063,5.0,2.0,1.0,1.0
157,0.8477087101427637,0.7271519844229283,5.0,2.0,1.0,2.0
158,0.9134673419952963,0.7265147901819375,5.0,2.0,1.0,3.0
159,0.8894402937677333,0.7298924530275457,5.0,2.0,1.0,4.0
160,0.8607846213927474,0.7271268664371652,5.0,2.0,2.0,0.0
161,0.8469544399470968,0.7300130585986709,5.0,2.0,2.0,1.0
162,0.8319048584747,0.7058219858041527,5.0,2.0,2.0,2.0
163,0.9046764699575048,0.7084476252009928,5.0,2.0,2.0,3.0
164,0.8784240726939174,0.71507363326854,5.0,2.0,2.0,4.0
165,0.9198344712358923,0.7202213375736445,5.0,2.0,3.0,0.0
166,0.9132153812893776,0.7271408664918447,5.0,2.0,3.0,1.0
167,0.9040845824227105,0.7139082136295984,5.0,2.0,3.0,2.0
168,0.9448589339484045,0.7169327275061491,5.0,2.0,3.0,3.0
169,0.9305096407190437,0.7094558267511003,5.0,2.0,3.0,4.0
170,0.8979429334652732,0.7174738345154523,5.0,2.0,4.0,0.0
171,0.8909667445247816,0.7177131898774235,5.0,2.0,4.0,1.0
172,0.8797596569237341,0.7191612888609651,5.0,2.0,4.0,2.0
173,0.9297369576668076,0.7211307882344332,5.0,2.0,4.0,3.0
174,0.90991035935575,0.7179628371449268,5.0,2.0,4.0,4.0
175,0.9265066246557611,0.7279156773723411,5.0,3.0,0.0,0.0
176,0.9227725213397271,0.734400978527027,5.0,3.0,0.0,1.0
177,0.9206252316494856,0.7228793111606931,5.0,3.0,0.0,2.0
178,0.9558825305211108,0.727310160964238,5.0,3.0,0.0,3.0
179,0.9420552828554675,0.7141746227499858,5.0,3.0,0.0,4.0
180,0.92437896480051,0.7400222019734274,5.0,3.0,1.0,0.0
181,0.9147772440196498,0.7279444772064672,5.0,3.0,1.0,1.0
182,0.9126465472946168,0.7269065118922761,5.0,3.0,1.0,2.0
183,0.9529391645336168,0.7246692270104559,5.0,3.0,1.0,3.0
184,0.9403113845494185,0.719917808131266,5.0,3.0,1.0,4.0
185,0.9210408951053081,0.7206046971901557,5.0,3.0,2.0,0.0
186,0.9143533382107366,0.7293114735196314,5.0,3.0,2.0,1.0
187,0.9047724538669056,0.6973250361755495,5.0,3.0,2.0,2.0
188,0.945477334846187,0.7192288121463225,5.0,3.0,2.0,3.0
189,0.9298332004946374,0.7099376900101521,5.0,3.0,2.0,4.0
190,0.9556760130325183,0.7307866743554118,5.0,3.0,3.0,0.0
191,0.9531691917075417,0.7290695290278729,5.0,3.0,3.0,1.0
192,0.9460039009192832,0.7156756885622575,5.0,3.0,3.0,2.0
193,0.9674887467873582,0.7155628056167446,5.0,3.0,3.0,3.0
194,0.9591406550987515,0.7163968073406245,5.0,3.0,3.0,4.0
195,0.9430941557907376,0.7229221280172676,5.0,3.0,4.0,0.0
196,0.9404759677539193,0.7213254797192433,5.0,3.0,4.0,1.0
197,0.9298545754653563,0.7265494815299323,5.0,3.0,4.0,2.0
