,ensemble,score
274,knn+cgb+nb,0.7058129322183725
275,knn+cgb+svc,0.7116619704620362
276,knn+cgb+rf,0.70597204230955
277,knn+cgb+hgb,0.7179910568847834
278,knn+cgb+lgb,0.716536520690376
279,knn+cgb+xgb,0.7146483117177203
280,knn+xgb+log,0.7213156213636929
281,knn+xgb+lda,0.7184612399742243
282,knn+xgb+nb,0.7019195622988494
283,knn+xgb+svc,0.7101180356343579
284,knn+xgb+rf,0.7107958347234675
285,knn+xgb+hgb,0.7058680056345268
286,knn+xgb+lgb,0.7066000391550907
287,knn+xgb+cgb,0.7104430193898542
288,svc+log+lda,0.7318016049253718
289,svc+log+nb,0.7096123552827727
290,svc+log+knn,0.7141685759252911
291,svc+log+rf,0.719031906572739
292,svc+log+hgb,0.7199718498274325
293,svc+log+lgb,0.7193262138264611
294,svc+log+cgb,0.7178076176184622
295,svc+log+xgb,0.7173351038817077
296,svc+lda+log,0.7253477102664739
297,svc+lda+nb,0.7193376209930039
298,svc+lda+knn,0.7238504424326611
299,svc+lda+rf,0.7269007779994361
300,svc+lda+hgb,0.7251718122434003
301,svc+lda+lgb,0.724360864478599
302,svc+lda+cgb,0.7263473016341824
303,svc+lda+xgb,0.7229634642338039
304,svc+nb+log,0.7177982356275966
305,svc+nb+lda,0.7202114024784104
306,svc+nb+knn,0.7028017601880329
307,svc+nb+rf,0.7047883015069953
308,svc+nb+hgb,0.7107448984124557
309,svc+nb+lgb,0.7075844908014385
310,svc+nb+cgb,0.7138271882972032
311,svc+nb+xgb,0.7058919024734762
312,svc+knn+log,0.7165718684893474
313,svc+knn+lda,0.726844337655271
314,svc+knn+nb,0.7003257255677723
315,svc+knn+rf,0.7108869388425375
316,svc+knn+hgb,0.7124800512183629
317,svc+knn+lgb,0.7128686033222559
318,svc+knn+cgb,0.7165118941620341
319,svc+knn+xgb,0.7093343324454835
320,svc+rf+log,0.7185483910347965
321,svc+rf+lda,0.7273128009272185
322,svc+rf+nb,0.7103306070976279
323,svc+rf+knn,0.713971728416174
324,svc+rf+hgb,0.714640962088265
325,svc+rf+lgb,0.7144546047286484
326,svc+rf+cgb,0.7102107660979882
327,svc+rf+xgb,0.7151952953233829
328,svc+hgb+log,0.7224566775297058
329,svc+hgb+lda,0.7290706507998718
330,svc+hgb+nb,0.7100133334929194
331,svc+hgb+knn,0.7149390941075408
332,svc+hgb+rf,0.7123423051625197
333,svc+hgb+lgb,0.712589058870593
334,svc+hgb+cgb,0.7204993002547325
335,svc+hgb+xgb,0.7087184569466702
336,svc+lgb+log,0.7182582168830418
337,svc+lgb+lda,0.7272892950152604
338,svc+lgb+nb,0.7055668581435063
339,svc+lgb+knn,0.710859929945571
340,svc+lgb+rf,0.7103841772886741
341,svc+lgb+hgb,0.7160585289717831
342,svc+lgb+cgb,0.7187773046817518
343,svc+lgb+xgb,0.7124227595201804
344,svc+cgb+log,0.7132292212552283
345,svc+cgb+lda,0.7293077782738575
